CRITICAL VIGNETTE,VIGNETTE A METAPHOR,CONSISTENT COMPLETION,INCONSISTENT COMPLETION,INCONSISTENT COMPLETION METAPHOR,SET,UniqueID
__ __ ___ ___ ______ ___ ____ ____ ____ ___ _____ ____ ____ _______ ____ ___. ___ __ ___ ________ ____ __ ____ ___ __ _ _______ ______ ____ _______ _____ __ ______,Importance is Centrality,It is a core part of the city's commercial success.,It is a huge part of the city's commercial success.  ,Importance is Size,1,1
__ __ ___ __ ___ ____  _______ ____ __ ____ ____ __ ___ _ ____ ___ __ ___. ___ __ ___ ________ ____ __ ____ ___ __ _ _______ ______ ____ _______ _____ __ ______,Quantity is Vertical Elevation,Investors are excited that the company's profits are ascending. ,Investors are excited that the company's profits are expanding.   ,Quantity is Size,1,2
___ ___ __ _____ ___ ___ __ ___ ______ ____ _____ __ ___. __ ______ _______ __ ___ ____ __ ___ ____,Badness is Dirtiness,"In today's press conference, his face was stained with guilt.","In today's press conference, his face reeked of guilt.",Badness is Foul-Smell,1,3
______ ____ _____ ___ ___ ___ __ __ ____ ___ ______ ____ __ ____. __ ______ _______,Happiness is Elevation,"Her outlook on the future improved, and she hoped that she would never hit rock bottom again.","Her outlook on the future improved, and she hoped that she would never be in a dark place again.",Happiness is Brightness,1,4
_____ ____ _______ __ ___ ____ ___ __ ____ _____ ____ ___. __ ___ ___ __ __ ____ _____ ___ _____ _____ ____ _____ _ __ ______ ________ _____ ______ __ __ ___ ______ ____.,Activity is Wakefulness,The efforts of small businesses throughout the nation have rejuvenated the economy. ,The efforts of small businesses throughout the nation have resurrected the economy. ,Activity is Life,1,5
__ __ ____ ______ _____ ____ ____ _______ _______ __ ___ ____ __ ____ ___,Achieving goal is Reaching destination,He is confident that he will get through the difficult material and do well in the class. ,He is confident that he will get a handle on the difficult material and do well in the class.,Achieving a goal is Acquiring Object,1,6
___  _____ ____ __ _______ __ ____. __ ____ ____ __________ __ __ __ ___ ____,Time periods are Objects in motion,"When the new year finally did arrive, the children couldn't contain themselves. ","When they finally were in the new year, the children couldn't contain themselves.",Time periods are spatial regions,1,7
___ __ _______ __ _____ ____ ____. __ ____ ____ _____ _____ __ __________ _____,Knowing is seeing,He realized that the key to the mystery had been in plain view all along.  ,He realized that the key to the mystery had been within his reach all along.,Knowing is grasping,1,8
___ ______ __ ___ __ ____ __ ______ _____ ___ ___. ___ ___ __ ________ ___ ___ ____ ______ ______  _____ ___ ___,Being in control is Being above,"Because she had everything under control, her presentation proceeded just as she had hoped.","Because she had a strong grasp of everything, her presentation proceeded just as she had hoped. ",Being control is Grasping,1,9
___ ______ __ ___ __ ____ __ ______ __ __ ____ ____ ___. ___ ___ __ ________ ___ ___ ____ ______ ______ _______ ___ ____ __ _____ ___,Desire is Hunger,"Ever since she was a child, she always craved attention","Ever since she was a child, she always gravitated toward attention. ",Desire is Force,1,10
______ __ ___ ___ ____ __ __ _____ ______ ___ _____ __ __. __ _____ ___ __ _____ ____ __ ____,Importance is Size,It is a huge part of the city's commercial success.  ,It is a core part of the city's commercial success.,Importance is Centrality,2,11
______ ____ ___ ___ __ __ _____ ______ ___. _______ _____ ____ _____ ____ __ __ _____ ______ __ ___,Quantity is Size,Investors are excited that the company's profits are expanding.   ,Investors are excited that the company's profits are ascending. ,Quantity is Vertical Elevation,2,12
_____ ______ __ _____ ___ _ ____ ___ ____ __ ______ ____ ____ ___ ___. ___ __ __ ____ __ ______ ______ _______ ___ __,Badness is Foul-Smell,"In today's press conference, his face reeked of guilt.","In today's press conference, his face was stained with guilt.",Badness is Dirtiness,2,13
______ __ ______ __ ______ ____ ___ _____ __ __ __ ___ ____ ___. ___ __ __ ____ __ ______ _____ ______ ___ _ _____ ____ ___,Happiness is Brightness,"Her outlook on the future improved, and she hoped that she would never be in a dark place again.","Her outlook on the future improved, and she hoped that she would never hit rock bottom again.",Happiness is Elevation,2,14
______ _________ ___ ___ _____ ____. ___ _______ ___ ____ ____ __ __ _____ ___ ____ _____ ____ ___ ____ ___,Activity is Life,The efforts of small businesses throughout the nation have resurrected the economy. ,The efforts of small businesses throughout the nation have rejuvenated the economy. ,Activity is Wakefulness,2,15
______ _________ ____ ___  ___ __ ___ _____ ____ ____ __ _ _____ ____ _____ __,Achieving a goal is Acquiring Object,He is confident that he will get a handle on the difficult material and do well in the class.,He is confident that he will get through the difficult material and do well in the class. ,Achieving goal is Reaching destination,2,16
____ ________ ______ _____ ___ ___. ___ _____ __ _____ __ _____ __ _____ ___ _ ___ ____ __ ___,Time periods are spatial regions,"When they finally were in the new year, the children couldn't contain themselves.","When the new year finally did arrive, the children couldn't contain themselves. ",Time periods are objects in motion,2,17
_______ _____ _______ ___ ___. ____ ___ _____ __ _____ _____ ___ _ ___ ____ __ ___,Knowing is grasping,He realized that the key to the mystery had been within his reach all along.,He realized that the key to the mystery had been in plain view all along.  ,Knowing is seeing,2,18
______ _____ ___ ______ ___ _ __ ___ _____ __ _____ ____ ___. ___ ____ __ _____ _____ ______ ___,Being on control is Grasping,"Because she had a strong grasp of everything, her presentation proceeded just as she had hoped. ","Because she had everything under control, her presentation proceeded just as she had hoped.",Being in control is Being above,2,19
______ __ _______ ___ ______ ___ _ __ ___ ____ _____ ___ ___. ___ ____ ______ ____ ____ ___,Desire is Force,"Ever since she was a child, she always gravitated toward attention. ","Ever since she was a child, she always craved attention",Desire is Hunger,2,20